Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
21.75,16,9,7,56.0,44.0
18.28,25,19,6,76.0,24.0
19.7,30,22,8,73.0,27.0
20.258064516129032,31,19,12,61.0,39.0
23.394736842105264,38,22,16,58.0,42.0
22.128205128205128,39,17,22,44.0,56.0
22.0,48,25,23,52.0,48.0
20.666666666666668,36,18,18,50.0,50.0
14.16,25,13,12,52.0,48.0
14.16,25,13,12,52.0,48.0
13.875,8,5,3,62.0,38.0
15.222222222222221,18,11,7,61.0,39.0
21.846153846153847,13,9,4,69.0,31.0
9.5,14,10,4,71.0,29.0
14.23076923076923,13,10,3,77.0,23.0
31.6,5,2,3,40.0,60.0
14.25,4,4,0,100.0,0.0
107.66666666666667,3,3,0,100.0,0.0
3.0,1,1,0,100.0,0.0
269.0,1,1,0,100.0,0.0
4.0,1,1,0,100.0,0.0
7.0,1,1,0,100.0,0.0
4.0,3,3,0,100.0,0.0
10.714285714285714,7,6,1,86.0,14.0
11.636363636363637,11,10,1,91.0,9.0
12.142857142857142,7,7,0,100.0,0.0
25.09090909090909,11,10,1,91.0,9.0
34.26315789473684,19,17,2,89.0,11.0
17.72222222222222,18,15,3,83.0,17.0
25.666666666666668,30,20,10,67.0,33.0
20.52,25,15,10,60.0,40.0
8.916666666666666,12,10,2,83.0,17.0
17.53846153846154,13,11,2,85.0,15.0
10.0,12,11,1,92.0,8.0
12.5,8,8,0,100.0,0.0
21.23076923076923,13,7,6,54.0,46.0
12.857142857142858,7,7,0,100.0,0.0
17.5,4,2,2,50.0,50.0
30.8,5,5,0,100.0,0.0
2.0,2,2,0,100.0,0.0
3.0,1,1,0,100.0,0.0
8.0,4,4,0,100.0,0.0
9.75,8,8,0,100.0,0.0
11.592592592592593,27,25,2,93.0,7.0
15.181818181818182,44,39,5,89.0,11.0
17.785714285714285,28,24,4,86.0,14.0
17.333333333333332,12,10,2,83.0,17.0
21.181818181818183,22,15,7,68.0,32.0
21.055555555555557,18,16,2,89.0,11.0
20.541666666666668,24,17,7,71.0,29.0
29.27777777777778,18,12,6,67.0,33.0
12.892857142857142,28,20,8,71.0,29.0
14.266666666666667,30,24,6,80.0,20.0
14.076923076923077,52,45,7,87.0,13.0
9.827586206896552,29,28,1,97.0,3.0
16.833333333333332,18,15,3,83.0,17.0
8.714285714285714,7,6,1,86.0,14.0
7.444444444444445,9,7,2,78.0,22.0
12.714285714285714,14,10,4,71.0,29.0
10.125,8,5,3,62.0,38.0
6.0,6,4,2,67.0,33.0
28.0,1,1,0,100.0,0.0
2.0,2,2,0,100.0,0.0
27.0,2,2,0,100.0,0.0
5.0,1,1,0,100.0,0.0
8.5,2,2,0,100.0,0.0
